CMDLINE /usr/bin/python3 rrt.py
MEM 63.675781 1717599027.9446
MEM 63.675781 1717599028.0453
MEM 63.675781 1717599028.1460
MEM 63.675781 1717599028.2466
MEM 63.675781 1717599028.3473
MEM 63.675781 1717599028.4476
MEM 63.675781 1717599028.5483
MEM 63.675781 1717599028.6486
MEM 63.675781 1717599028.7493
MEM 63.675781 1717599028.8497
MEM 63.675781 1717599028.9504
MEM 63.675781 1717599029.0506
MEM 63.675781 1717599029.1513
MEM 63.675781 1717599029.2516
MEM 63.675781 1717599029.3522
MEM 63.675781 1717599029.4527
MEM 63.675781 1717599029.5533
MEM 63.675781 1717599029.6537
MEM 63.675781 1717599029.7543
MEM 63.675781 1717599029.8547
MEM 63.675781 1717599029.9553
MEM 63.675781 1717599030.0556
MEM 63.675781 1717599030.1563
MEM 63.675781 1717599030.2566
MEM 63.675781 1717599030.3573
MEM 63.675781 1717599030.4577
MEM 63.675781 1717599030.5584
MEM 63.675781 1717599030.6586
MEM 63.675781 1717599030.7594
MEM 63.675781 1717599030.8597
MEM 63.675781 1717599030.9604
MEM 63.675781 1717599031.0606
MEM 63.675781 1717599031.1612
MEM 63.675781 1717599031.2616
MEM 63.675781 1717599031.3623
MEM 63.675781 1717599031.4626
MEM 63.675781 1717599031.5633
MEM 63.675781 1717599031.6637
MEM 63.675781 1717599031.7643
MEM 63.675781 1717599031.8647
MEM 63.675781 1717599031.9653
MEM 63.675781 1717599032.0656
MEM 63.675781 1717599032.1663
MEM 63.675781 1717599032.2666
MEM 63.675781 1717599032.3673
MEM 63.675781 1717599032.4680
MEM 63.675781 1717599032.5686
MEM 63.675781 1717599032.6693
MEM 63.675781 1717599032.7696
MEM 63.675781 1717599032.8703
MEM 63.675781 1717599032.9706
MEM 63.675781 1717599033.0715
MEM 63.675781 1717599033.1722
MEM 63.675781 1717599033.2726
MEM 63.675781 1717599033.3733
MEM 63.675781 1717599033.4736
MEM 63.675781 1717599033.5743
MEM 63.675781 1717599033.6750
MEM 63.675781 1717599033.7756
MEM 63.675781 1717599033.8763
MEM 63.675781 1717599033.9766
MEM 63.675781 1717599034.0773
MEM 63.675781 1717599034.1780
MEM 63.675781 1717599034.2786
MEM 63.675781 1717599034.3794
MEM 63.675781 1717599034.4797
MEM 63.675781 1717599034.5803
MEM 63.675781 1717599034.6807
MEM 63.675781 1717599034.7813
MEM 63.675781 1717599034.8820
MEM 63.675781 1717599034.9826
MEM 63.675781 1717599035.0833
MEM 63.675781 1717599035.1836
MEM 63.675781 1717599035.2843
MEM 63.675781 1717599035.3846
MEM 63.675781 1717599035.4853
MEM 63.675781 1717599035.5856
MEM 63.675781 1717599035.6864
MEM 63.675781 1717599035.7871
MEM 63.675781 1717599035.8877
MEM 63.675781 1717599035.9884
MEM 63.675781 1717599036.0886
MEM 63.675781 1717599036.1893
MEM 63.675781 1717599036.2896
MEM 63.675781 1717599036.3903
MEM 63.675781 1717599036.4907
MEM 63.675781 1717599036.5913
MEM 63.675781 1717599036.6916
MEM 63.675781 1717599036.7923
MEM 63.675781 1717599036.8929
MEM 63.675781 1717599036.9935
MEM 63.675781 1717599037.0942
MEM 63.675781 1717599037.1946
MEM 63.675781 1717599037.2953
MEM 63.675781 1717599037.3960
MEM 63.675781 1717599037.4966
MEM 63.675781 1717599037.5973
MEM 63.675781 1717599037.6977
MEM 63.675781 1717599037.7983
MEM 63.675781 1717599037.8986
MEM 63.675781 1717599037.9993
MEM 63.675781 1717599038.1000
MEM 63.675781 1717599038.2007
MEM 63.675781 1717599038.3013
MEM 63.675781 1717599038.4016
MEM 63.675781 1717599038.5023
MEM 63.675781 1717599038.6026
MEM 63.675781 1717599038.7033
MEM 63.675781 1717599038.8036
MEM 63.675781 1717599038.9043
MEM 63.675781 1717599039.0046
MEM 63.675781 1717599039.1053
MEM 63.675781 1717599039.2059
MEM 63.675781 1717599039.3066
MEM 63.675781 1717599039.4072
MEM 63.675781 1717599039.5079
MEM 63.675781 1717599039.6086
MEM 63.675781 1717599039.7093
MEM 63.675781 1717599039.8096
MEM 63.675781 1717599039.9103
MEM 63.675781 1717599040.0106
MEM 63.675781 1717599040.1113
MEM 63.675781 1717599040.2116
MEM 63.675781 1717599040.3124
MEM 63.675781 1717599040.4126
MEM 63.675781 1717599040.5133
MEM 63.675781 1717599040.6137
MEM 63.675781 1717599040.7144
MEM 63.675781 1717599040.8146
MEM 63.675781 1717599040.9153
MEM 63.675781 1717599041.0160
MEM 63.675781 1717599041.1166
MEM 63.675781 1717599041.2173
MEM 63.675781 1717599041.3180
MEM 63.675781 1717599041.4186
MEM 63.675781 1717599041.5193
MEM 63.675781 1717599041.6197
MEM 63.675781 1717599041.7203
MEM 63.675781 1717599041.8206
MEM 63.675781 1717599041.9213
MEM 63.675781 1717599042.0216
MEM 63.675781 1717599042.1219
MEM 63.675781 1717599042.2226
MEM 63.675781 1717599042.3233
MEM 63.675781 1717599042.4240
MEM 63.675781 1717599042.5246
MEM 63.675781 1717599042.6252
MEM 63.675781 1717599042.7258
MEM 63.675781 1717599042.8266
MEM 63.675781 1717599042.9273
MEM 63.675781 1717599043.0276
MEM 63.675781 1717599043.1283
MEM 63.675781 1717599043.2287
MEM 63.675781 1717599043.3294
MEM 63.675781 1717599043.4297
MEM 63.675781 1717599043.5306
MEM 63.675781 1717599043.6326
MEM 63.675781 1717599043.7335
MEM 63.675781 1717599043.8341
MEM 63.675781 1717599043.9346
MEM 63.675781 1717599044.0353
MEM 63.675781 1717599044.1356
MEM 63.675781 1717599044.2363
MEM 63.675781 1717599044.3366
MEM 63.675781 1717599044.4373
MEM 63.675781 1717599044.5376
MEM 63.675781 1717599044.6383
MEM 63.675781 1717599044.7386
MEM 63.675781 1717599044.8393
MEM 63.675781 1717599044.9396
MEM 63.675781 1717599045.0403
MEM 63.675781 1717599045.1406
MEM 63.675781 1717599045.2413
MEM 63.675781 1717599045.3416
MEM 63.675781 1717599045.4423
MEM 63.675781 1717599045.5426
MEM 63.675781 1717599045.6433
MEM 63.675781 1717599045.7436
MEM 63.675781 1717599045.8443
MEM 63.675781 1717599045.9446
MEM 63.675781 1717599046.0453
MEM 63.675781 1717599046.1456
MEM 63.675781 1717599046.2462
MEM 63.675781 1717599046.3469
MEM 63.675781 1717599046.4475
MEM 63.675781 1717599046.5481
MEM 63.675781 1717599046.6488
MEM 63.675781 1717599046.7494
MEM 63.675781 1717599046.8497
MEM 63.675781 1717599046.9503
MEM 63.675781 1717599047.0510
MEM 63.675781 1717599047.1516
MEM 63.675781 1717599047.2523
MEM 63.675781 1717599047.3527
MEM 63.675781 1717599047.4533
MEM 63.675781 1717599047.5540
MEM 63.675781 1717599047.6547
MEM 63.675781 1717599047.7553
MEM 63.675781 1717599047.8557
MEM 63.675781 1717599047.9563
MEM 63.675781 1717599048.0566
MEM 63.675781 1717599048.1573
MEM 63.675781 1717599048.2576
MEM 63.675781 1717599048.3583
MEM 63.675781 1717599048.4586
MEM 63.675781 1717599048.5593
MEM 63.675781 1717599048.6596
MEM 63.675781 1717599048.7599
MEM 63.675781 1717599048.8606
MEM 63.675781 1717599048.9613
MEM 63.675781 1717599049.0616
MEM 63.675781 1717599049.1623
MEM 63.675781 1717599049.2626
MEM 63.675781 1717599049.3633
MEM 63.675781 1717599049.4636
MEM 63.675781 1717599049.5643
MEM 63.675781 1717599049.6646
MEM 63.675781 1717599049.7649
MEM 63.675781 1717599049.8656
MEM 63.675781 1717599049.9662
MEM 63.675781 1717599050.0666
MEM 63.675781 1717599050.1673
MEM 63.675781 1717599050.2676
MEM 63.675781 1717599050.3682
MEM 63.675781 1717599050.4686
MEM 63.675781 1717599050.5693
MEM 63.675781 1717599050.6696
MEM 63.675781 1717599050.7703
MEM 63.675781 1717599050.8706
MEM 63.675781 1717599050.9713
MEM 63.675781 1717599051.0716
MEM 63.675781 1717599051.1723
MEM 63.675781 1717599051.2726
MEM 63.675781 1717599051.3733
MEM 63.675781 1717599051.4739
MEM 63.675781 1717599051.5746
MEM 63.675781 1717599051.6752
MEM 63.675781 1717599051.7758
MEM 63.675781 1717599051.8766
MEM 63.675781 1717599051.9772
MEM 63.675781 1717599052.0777
MEM 63.675781 1717599052.1784
MEM 63.675781 1717599052.2790
MEM 63.675781 1717599052.3797
MEM 63.675781 1717599052.4803
MEM 63.675781 1717599052.5806
MEM 63.675781 1717599052.6813
MEM 63.675781 1717599052.7817
MEM 63.675781 1717599052.8823
MEM 63.675781 1717599052.9827
MEM 63.675781 1717599053.0834
MEM 63.675781 1717599053.1836
MEM 63.675781 1717599053.2843
MEM 63.675781 1717599053.3846
MEM 63.675781 1717599053.4853
MEM 63.675781 1717599053.5856
MEM 63.675781 1717599053.6863
MEM 63.675781 1717599053.7866
MEM 63.675781 1717599053.8873
MEM 63.675781 1717599053.9876
MEM 63.675781 1717599054.0883
MEM 63.675781 1717599054.1887
MEM 63.675781 1717599054.2893
MEM 63.675781 1717599054.3897
MEM 63.675781 1717599054.4903
MEM 63.675781 1717599054.5906
MEM 63.675781 1717599054.6913
MEM 63.675781 1717599054.7917
MEM 63.675781 1717599054.8923
MEM 63.675781 1717599054.9926
MEM 63.675781 1717599055.0933
MEM 63.675781 1717599055.1936
MEM 63.675781 1717599055.2943
MEM 63.675781 1717599055.3946
MEM 63.675781 1717599055.4953
MEM 63.675781 1717599055.5956
MEM 63.675781 1717599055.6963
MEM 63.675781 1717599055.7966
MEM 63.675781 1717599055.8973
MEM 63.675781 1717599055.9977
MEM 63.675781 1717599056.0983
MEM 63.675781 1717599056.1986
MEM 63.675781 1717599056.2993
MEM 63.675781 1717599056.3996
MEM 63.675781 1717599056.5003
MEM 63.675781 1717599056.6006
MEM 63.675781 1717599056.7013
MEM 63.675781 1717599056.8016
MEM 63.675781 1717599056.9023
MEM 63.675781 1717599057.0026
MEM 63.675781 1717599057.1033
MEM 63.675781 1717599057.2036
MEM 63.675781 1717599057.3043
MEM 63.675781 1717599057.4046
MEM 63.675781 1717599057.5053
MEM 63.675781 1717599057.6059
MEM 63.675781 1717599057.7066
MEM 63.675781 1717599057.8072
MEM 63.675781 1717599057.9079
MEM 63.675781 1717599058.0086
MEM 63.675781 1717599058.1092
MEM 63.675781 1717599058.2096
MEM 63.675781 1717599058.3103
MEM 63.675781 1717599058.4107
MEM 63.675781 1717599058.5113
MEM 63.675781 1717599058.6120
MEM 63.675781 1717599058.7127
MEM 63.675781 1717599058.8133
MEM 63.675781 1717599058.9140
MEM 63.675781 1717599059.0146
MEM 63.675781 1717599059.1153
MEM 63.675781 1717599059.2156
MEM 63.675781 1717599059.3162
MEM 63.675781 1717599059.4167
MEM 63.675781 1717599059.5174
MEM 63.675781 1717599059.6176
MEM 63.675781 1717599059.7183
MEM 63.675781 1717599059.8186
MEM 63.675781 1717599059.9193
MEM 63.675781 1717599060.0197
MEM 63.675781 1717599060.1203
MEM 63.675781 1717599060.2206
MEM 63.675781 1717599060.3213
MEM 63.675781 1717599060.4216
MEM 63.675781 1717599060.5223
MEM 63.675781 1717599060.6227
MEM 63.675781 1717599060.7234
MEM 63.675781 1717599060.8236
MEM 63.675781 1717599060.9242
MEM 63.675781 1717599061.0246
MEM 63.675781 1717599061.1252
MEM 63.675781 1717599061.2256
MEM 63.675781 1717599061.3263
MEM 63.675781 1717599061.4266
MEM 63.675781 1717599061.5273
MEM 63.675781 1717599061.6276
MEM 63.675781 1717599061.7283
MEM 63.675781 1717599061.8287
MEM 63.675781 1717599061.9293
MEM 63.675781 1717599062.0297
MEM 63.675781 1717599062.1304
MEM 63.675781 1717599062.2307
MEM 63.675781 1717599062.3313
MEM 63.675781 1717599062.4316
MEM 63.675781 1717599062.5323
MEM 63.675781 1717599062.6326
MEM 63.675781 1717599062.7333
MEM 63.675781 1717599062.8336
MEM 63.675781 1717599062.9343
MEM 63.675781 1717599063.0347
MEM 63.675781 1717599063.1353
MEM 63.675781 1717599063.2356
MEM 63.675781 1717599063.3363
MEM 63.675781 1717599063.4367
MEM 63.675781 1717599063.5373
MEM 63.675781 1717599063.6376
MEM 63.675781 1717599063.7383
MEM 63.675781 1717599063.8389
MEM 63.675781 1717599063.9396
MEM 63.675781 1717599064.0402
MEM 63.675781 1717599064.1406
MEM 63.675781 1717599064.2413
